transaction_id,bank_name,customer_id,customer_first_name,customer_last_name,customer_account_number,merchant_id,merchant_name,merchant_account_number,transaction_amount,credit_card_number,credit_card_type,expiry_date,mode_of_transaction,transaction_date,transation_time,transation_type,transation_location,transation_ip,transation_status
8f421aa7-7949-4c7b-b795-ce20e5d0c170,KOTAK,39-0263547,Jackson,Mahody,KOTAK043813,83-6653145,Kathrine,KOTAK093945,86731,6761075693472642159,SILVER,5/26/2023,BANK,18/11/2019,6:02:44,CREDIT,Marhanets’,121.249.94.84,SUCCESS
9b573a01-9329-451b-9cb7-b84a6fb3a808,KOTAK,44-8301973,Lainey,Domingues,KOTAK045128,08-0981631,Amelina,KOTAK071834,97949,3528836481209165,GOLD,4/26/2024,BANK,17/07/2019,9:20:11,CREDIT,Olo,228.61.176.74,SUCCESS
fbbbdcfe-7d96-47d8-93fe-a7edd61f00a5,SBI,47-6010817,Fan,Maillard,SBI00025264,11-4937221,Dagmar,SBI00066870,66633,3548771570411149,PLATINUM,12/31/2022,BANK,08/11/2019,23:15:43,DEBIT,Cuchumbaya,148.180.73.118,SUCCESS
03ac4154-c129-4552-a079-e1b79eb66114,CITY,05-0469760,Kingsly,Pipet,CITY0020229,11-5871305,Aidan,CITY0097010,17232,3530437960765326,BRONZE,6/15/2027,ONLINE,22/10/2019,14:47:56,DEBIT,Esquina,103.91.160.87,SUCCESS
d9347969-c71a-4db0-8be2-88f67b2ab26b,CITY,44-5553474,Eadith,Shervington,CITY0021991,67-7234271,Sherill,CITY0082526,1938,5578727382425923,PLATINUM,2/21/2025,ONLINE,15/12/2019,9:59:33,DEBIT,Karangkancana,180.71.119.169,SUCCESS
8ba8bdb8-ecb7-4cce-b2f1-0ca1cdf91fdb,KOTAK,31-6080684,Brady,Metzing,KOTAK035738,43-3601322,Jeremiah,KOTAK080381,68902,56103041717764379,PLATINUM,11/4/2022,ONLINE,16/05/2020,23:10:42,CREDIT,Biyan,240.176.209.47,SUCCESS
6c5c2a4e-34cf-4c29-a63e-b4a3d9b19316,ICICI,33-1525903,Ella,Bolletti,ICICI021235,35-7065189,Clemmy,ICICI063311,17500,5602244168984925,PLATINUM,7/22/2024,ONLINE,08/01/2020,19:12:21,CREDIT,Leuburi,223.249.112.100,SUCCESS
260b1b97-3aaa-47f7-8a1b-c857590587d3,HDFC,52-5361529,Kelwin,Mercik,HDFC0032924,40-9877217,Carol,HDFC0090759,82637,3565918620666689,GOLD,12/20/2021,BANK,14/12/2019,7:21:33,CREDIT,Chervonoarmiys’k,204.30.74.18,FAILED
f04aca43-7bf2-4bdc-9d7e-51607ce1c29d,KOTAK,49-7877538,Pate,Tomeo,KOTAK040422,89-7572078,Ernaline,KOTAK062339,98082,5602229880005729,PLATINUM,10/16/2025,POS,29/04/2020,23:54:19,CREDIT,Punta de Piedra,145.218.47.117,SUCCESS
3b02a6dc-e855-450f-8d17-34c248e09594,ICICI,97-5907320,Karissa,Klyn,ICICI053137,63-1409785,Uri,ICICI081735,67825,30439779003304,PLATINUM,11/18/2026,BANK,19/08/2020,17:44:03,DEBIT,Zalţan,39.105.60.187,SUCCESS
